日産化学株式会社（旧：日産化学工業株式会社）,東京都中央区日本橋2丁目5番1号,農林水産・鉱業化学(メーカー),http://www.nissanchem.co.jp/,http://www.nissanchem.co.jp/contact
日本高周波鋼業株式会社,東京都千代田区岩本町1丁目10番5号,農林水産・鉱業鉄鋼(メーカー),http://www.koshuha.co.jp/,http://www.koshuha.co.jp/inquiry.html
株式会社ニッスイ（旧：日本水産株式会社）,東京都港区西新橋1丁目3番1号,農林水産・鉱業商社食料品(メーカー),http://www.nissui.co.jp/,https://www.nissui.co.jp/otoiawase.html
三翔海運株式会社,東京都千代田区飯田橋3丁目8番7号,農林水産・鉱業海運業(運輸・倉庫関連)その他(運輸・倉庫関連),URL not defined,https://www.tatsumi-cs.co.jp/contact/
第一石産運輸株式会社,東京都千代田区飯田橋2丁目13番7号,農林水産・鉱業商社小売,http://sekisan.co.jp/,https://sekisan.co.jp/contact/
東尋坊水産株式会社,東京都千代田区外神田5丁目6番12号コーワビル601号,農林水産・鉱業,URL not defined,https://yamanisuisan.com/toujinbou/contact/
丸和鋼業株式会社,東京都千代田区岩本町2丁目14番12号,農林水産・鉱業,URL not defined,http://www.maruwa-kogyo.com/contact/
尾坪水産株式会社,東京都江東区豊洲6丁目6番3号5階,農林水産・鉱業商社,http://www.otubo.co.jp/,https://www.otubo.co.jp/contact/
株式会社関西ライン,東京都中央区新川1丁目16番14号,農林水産・鉱業海運業(運輸・倉庫関連),URL not defined,https://www.kansai-line.co.jp/contact.html
日本ビーエフ株式会社,東京都中央区日本橋人形町3丁目2番5号,農林水産・鉱業商社,http://www.nbf.co.jp/,https://www.nbf.co.jp//contact
株式会社テルヴィス,東京都中央区日本橋小伝馬町4番11号,農林水産・鉱業商社小売,http://tervis.co.jp/,http://tervis.co.jp/contact
MOLケミカルタンカー株式会社（旧：東京マリン株式会社）,東京都港区虎ノ門2丁目1番1号,農林水産・鉱業その他(運輸・倉庫関連),http://molchemtankers.com/ja/,http://molchemtankers.com/ja/contact
株式会社一太朗水産,東京都中央区築地6丁目5番2号,農林水産・鉱業商社,http://tsukagoshi-mhk.jp/company/,http://tsukagoshi-mhk.jp/company/contact
株式会社恵水産,東京都中央区勝どき2丁目8番16号,農林水産・鉱業商社飲食(サービス),http://www.megumi-suisan.com/,http://www.megumi-suisan.com/contact
イワタニ・ケンボロー株式会社,東京都中央区日本橋小網町3番11号,農林水産・鉱業商社,http://www.camb.co.jp/,http://www.camb.co.jp/contact
リオティントジャパン株式会社,東京都千代田区麹町4丁目1番地麹町ダイヤモンドビル,農林水産・鉱業その他(サービス),http://www.riotintojapan.com/,http://www.riotintojapan.com/contact
株式会社ハイマート,東京都墨田区業平1丁目8番9号,農林水産・鉱業商社,http://www.heimat-ltd.com/corporate/top.html,http://www.heimat-ltd.com/corporate/top.html/contact
株式会社銀座・トマト,東京都中央区銀座8丁目11番13号IS銀座オフィス2F,農林水産・鉱業商社小売,http://www.ginza-tomato.co.jp,http://www.ginza-tomato.co.jp/contact
